ts,duration_ms,endpoint,followers,text_len,likes_mid,retweets_mid,replies_mid,weights_mode
2025-08-15T02:53:53,22220,/predict,140000,461,67,21,6,
2025-08-15T02:54:17,10890,/predict,140000,58,149,27,13,
2025-08-15T02:54:49,19755,/predict,140000,238,78,15,7,
2025-08-15T02:55:18,17881,/predict,140000,120,87,23,8,
2025-08-15T02:55:43,8611,/predict,140000,83,94,21,8,
2025-08-15T02:58:01,17175,/predict,140000,74,156,27,14,
2025-08-14 20:02:57,17656,140000,73,200,33,17,,,,
2025-08-14 20:03:20,16903,140000,83,101,23,9,,,,
2025-08-14 20:03:48,23026,140000,120,156,26,14,,,,
2025-08-14 20:04:29,17204,140000,239,110,18,10,,,,
2025-08-14 20:06:50,14642,140000,230,102,23,9,,,,
2025-08-14 20:36:36,15957,140000,18,171,33,15,,,,
2025-08-14 20:36:52,3972,140000,3,203,60,18,,,,
2025-08-14 20:37:34,11070,140000,222,114,22,10,,,,
2025-08-14 20:37:57,6659,140000,63,199,36,17,,,,
2025-08-14 20:38:24,11618,140000,205,104,23,9,,,,
2025-08-14 20:38:46,6734,140000,60,192,36,17,,,,
2025-08-14 20:49:25,12831,140000,102,182,25,16,,,,
2025-08-14 20:53:22,131890,140000,103,182,25,16,,,,
2025-08-14 20:54:29,8477,140000,98,171,25,15,,,,
2025-08-14 20:54:51,7940,140000,109,175,27,15,,,,
2025-08-14 20:55:18,14070,140000,255,106,15,9,,,,
2025-08-14 20:55:47,10024,140000,155,110,21,10,,,,
2025-08-14 20:56:12,13735,140000,257,137,26,12,,,,
2025-08-14 21:24:35,15152,140000,46,221,41,19,,,,
2025-08-14 21:24:51,7537,140000,68,122,23,11,,,,
2025-08-14 21:25:24,9190,140000,242,92,20,8,,,,
2025-08-14 21:25:56,10801,140000,226,71,16,6,,,,
2025-08-14 21:26:27,11422,140000,354,113,24,10,,,,
2025-08-14 21:26:54,10501,140000,226,91,22,8,,,,
2025-08-14 21:27:22,7667,140000,79,97,24,8,,,,
2025-08-14 21:53:23,13129,140000,78,98,24,9,,,,
2025-08-14 21:53:45,3660,140000,85,124,27,11,,,,
2025-08-14 21:54:00,3546,140000,48,124,22,11,,,,
2025-08-14 21:54:14,3586,140000,98,168,25,15,,,,
2025-08-14 21:54:28,3842,140000,296,114,34,10,,,,
2025-08-14 21:54:44,3915,140000,255,105,15,9,,,,
2025-08-14 21:55:14,3890,15900,257,68,8,4,,,,
2025-08-14 21:56:33,3722,15900,252,73,9,5,,,,
2025-08-14 22:01:50,4885,2546,792,44,2,2,,,,
2025-08-14 22:02:57,4209,1482,356,33,3,1,,,,
2025-08-14 22:03:28,3827,285,143,11,1,0,,,,
2025-08-14 22:03:50,3754,621,116,18,2,1,,,,
2025-08-14 22:04:43,4099,34200,252,111,11,8,,,,
2025-08-14 22:12:21,3872,34200,161,47,8,3,,,,
2025-08-14 22:19:03,3887,34200,161,47,8,3,,,,
2025-08-16 03:54:30,16674,100,34,39,16,1,,,,
2025-08-16 03:54:30,11919,100,70,30,9,1,,,,
2025-08-16 03:54:30,17241,100,76,25,11,1,,,,
2025-08-16 03:54:30,12015,100,76,25,11,1,,,,
2025-08-16 03:54:31,17744,100,70,30,9,1,,,,
2025-08-16 03:54:31,12666,100,34,39,16,1,,,,
2025-08-16 03:54:33,8990,100,53,34,16,1,,,,
2025-08-16 03:55:01,4800,100,71,28,19,1,,,,
2025-08-16 03:55:01,4931,100,46,32,14,1,,,,
2025-08-16 03:55:07,4087,100,53,34,16,1,,,,
2025-08-16 03:55:14,4177,100,46,32,14,1,,,,
2025-08-16 03:55:19,3916,100,71,28,19,1,,,,
2025-08-16 03:55:25,3998,100,53,34,16,1,,,,
2025-08-16 03:57:35,10240,100,116,12,2,0,,,,
2025-08-16 03:57:36,11281,100,145,15,2,0,,,,
2025-08-16 03:57:36,11333,100,122,12,1,0,,,,
2025-08-16 03:57:37,11635,100,106,15,3,0,,,,
2025-08-16 03:57:37,11855,100,120,13,1,0,,,,
2025-08-16 03:57:37,12338,100,93,15,3,1,,,,
2025-08-16 03:57:44,4135,100,108,13,2,0,,,,
2025-08-16 03:57:50,3923,100,145,15,2,0,,,,
2025-08-16 03:57:56,4059,100,122,12,1,0,,,,
2025-08-16 03:58:02,4232,100,116,12,2,0,,,,
2025-08-16 03:58:08,3867,100,93,15,3,1,,,,
2025-08-16 03:58:14,4424,100,106,15,3,0,,,,
2025-08-16 03:58:44,28106,100,120,13,1,0,,,,
2025-08-16 03:58:51,4287,100,108,13,2,0,,,,
2025-08-16 04:05:09,13005,100,135,11,3,0,,,,
2025-08-16 04:05:09,13038,100,99,11,3,0,,,,
2025-08-16 04:05:09,13071,100,95,10,2,0,,,,
2025-08-16 04:05:09,13154,100,144,13,3,0,,,,
2025-08-16 04:05:09,13462,100,150,11,3,0,,,,
2025-08-16 04:05:10,13840,100,114,13,1,0,,,,
2025-08-16 04:05:16,4118,100,108,12,2,0,,,,
2025-08-16 04:05:22,4029,100,108,12,2,0,,,,
2025-08-16 04:05:29,4658,100,144,13,3,0,,,,
2025-08-16 04:05:35,4089,100,135,11,3,0,,,,
2025-08-16 04:05:41,4154,100,95,10,2,0,,,,
2025-08-16 04:05:47,4174,100,99,11,3,0,,,,
2025-08-16 04:06:17,27375,100,150,11,3,0,,,,
2025-08-16 04:06:22,3256,100,114,13,1,0,,,,
